en,sl
All information disclosed during the consultations shall remain confidential.,"Vse informacije, razkrite med posvetovanji, so zaupne."
"Consultations on matters of urgency, including those regarding perishable or seasonal goods, shall be held within fifteen (15) days of the date of the receipt of the request, and shall be deemed concluded within thirty (30) days of the date of the receipt of the request.","Posvetovanja o nujnih zadevah, vključno s tistimi, ki se nanašajo na pokvarljivo ali sezonsko blago, se skličejo v petnajstih dneh od datuma predložitve zahtevka in se štejejo za zaključena v 30 dneh od datuma prejema zahtevka."
"If consultations are not held within the timeframes laid down in paragraph 3 or 4 respectively, or if consultations have been concluded and no mutually agreed solution has been reached, the complaining Party may request the establishment of an arbitration panel in accordance with Article 79.","Če se posvetovanja ne skličejo v rokih iz odstavku 3 ali 4 ali če se posvetovanja zaključijo, ne da bi bilo doseženo soglasje o sporazumni rešitvi, lahko pogodbenica pritožnica zahteva ustanovitev arbitražnega sveta v skladu s členom 79."
Article 78,Člen 78
Mediation,Mediacija
"If consultations fail to produce a mutually agreed solution, the Parties may, by agreement, seek recourse to a mediator.","Če se posvetovanja ne končajo s sporazumno rešitvijo, se lahko pogodbenici po dogovoru obrneta na mediatorja."
"Unless the Parties agree otherwise, the terms of reference for the mediation shall be the matter referred to in the request for consultations.","Če pogodbenici ne odločita drugače, so formalni pogoji za mediacijo tisti, navedeni v zahtevku za pogajanja."
"Unless the Parties agree on a mediator within fifteen (15) days of the date of the agreement to request mediation, the Chairperson of the Trade and Development Committee, or his or her delegate, shall select by lot a mediator from the pool of individuals who are on the list referred to in Article 94 and are not nationals of either Party.","Če se pogodbenici v petnajstih dneh od datuma dogovora o zahtevku za mediacijo ne sporazumeta o mediatorju, predsednik Odbora za trgovino in razvoj ali njegov pooblaščenec z žrebom izbere mediatorja iz skupine posameznikov, ki so na seznamu iz člena 94 in niso državljani nobene od pogodbenic."
The selection shall be made within twenty-five (25) days of the date of the submission of agreement to request mediation and in the presence of a representative of each Party.,Izbor se opravi v 25 dneh od datuma predložitve dogovora o zahtevku za mediacijo v navzočnosti predstavnika vsake od pogodbenic.
The mediator will convene a meeting with the Parties no later than thirty (30) days after being selected.,"Mediator bo sklical srečanje s pogodbenicama najpozneje 30 dni po tem, ko je bil izbran."
The mediator shall receive the submissions of each Party no later than fifteen (15) days before the meeting and notify an opinion no later than forty-five (45) days after having been selected.,"Mediator prejme stališča vsake od pogodbenic najpozneje petnajst dni pred srečanjem in mnenje sporoči najpozneje 45 dni po tem, ko je bil izbran."
The Parties may agree to amend the time limits referred to in paragraph 2.,Pogodbenici se lahko dogovorita za spremembo rokov iz odstavka 2.
"The mediator may also decide to amend these time limits upon request of any of the Parties or on his own initiative, given the particular difficulties experienced by the Party concerned or the complexities of the case.","Mediator se lahko prav tako odloči za spremembo teh rokov na zahtevo katere koli od pogodbenic ali na lastno pobudo, glede na posebne težave, ki jih ima zadevna pogodbenica, ali zapletenost primera."
"The proceedings involving mediation, in particular all information disclosed and positions taken by the Parties during these proceedings, shall remain confidential.","Postopki, povezani z mediacijo, zlasti vse razkrite informacije in stališča, ki jih zavzameta pogodbenici med temi postopki, so zaupni."
Dispute settlement procedures,Postopek reševanja sporov
Article 79,Člen 79
Initiation of the arbitration procedure,Začetek arbitražnega postopka
"Where the Parties have failed to resolve the dispute by recourse to consultations as provided for in Article 77, or by recourse to mediation as provided for in Article 78, the complaining Party may request the establishment of an arbitration panel.","Kadar pogodbenicama ne uspe rešiti spora s posvetovanji iz člena 77 ali mediacijo iz člena 78, lahko pogodbenica pritožnica zahteva ustanovitev arbitražnega sveta."
The request for the establishment of an arbitration panel shall be made in writing to the Party complained against and the Trade and Development Committee.,"Zahtevek za ustanovitev arbitražnega sveta mora biti predložen v pisni obliki pogodbenici, proti kateri je vložena pritožba, in Odboru za trgovino in razvoj."
"The complaining Party shall identify in its request the specific measures at issue, and it shall explain how such measures constitute a breach of the provisions of this Agreement.","Pogodbenica pritožnica v svojem zahtevku opredeli konkretne sporne ukrepe in razloži, kako taki ukrepi predstavljajo kršitev določb tega sporazuma."
Article 80,Člen 80
Establishment of the arbitration panel,Ustanovitev arbitražnega sveta
An arbitration panel shall be composed of three (3) arbitrators.,Arbitražni svet sestavljajo trije arbitri.
Each Party shall appoint one arbitrator within ten (10) days of the date of the receipt of the request for the establishment of an arbitration panel.,Vsaka pogodbenica imenuje enega arbitra v desetih dneh od datuma prejema zahtevka za ustanovitev arbitražnega sveta.
"The two (2) arbitrators shall appoint a third arbitrator, who shall be the chairperson of the arbitration panel, within twenty (20) days of the receipt of the request for the establishment of a panel.","Dva arbitra imenujeta tretjega arbitra, ki je predsednik arbitražnega sveta, v dvajsetih dneh od prejema zahtevka za ustanovitev arbitražnega sveta."
The chairperson of the arbitration panel shall not be a national of the Parties nor permanently reside in the territory of the Parties.,Predsednik arbitražnega sveta ne sme biti državljan nobene od pogodbenic niti ne sme stalno prebivati na ozemlju pogodbenic.
"If all three (3) arbitrators are not appointed within twenty (20) days, or if, within ten (10) days of the appointment of the third arbitrator, either Party submits a reasoned written objection to the appointed arbitrators to the Trade and Development Committee, either Party may request the Chairperson of the Trade and Development Committee, or her or his delegate, to select all three (3) members by lot from the list established under Article 94, one among the individuals proposed by the complaining Party, one among the individuals proposed by the Party complained against, and one among the individuals selected by the Parties to act as chairperson.","Če vsi trije arbitri niso imenovani v dvajsetih dneh ali če v desetih dneh od imenovanja tretjega arbitra katera koli pogodbenica Odboru za trgovino in razvoj predloži utemeljen pisni ugovor na imenovane arbitre, lahko katera koli od pogodbenic zaprosi predsednika Odbora za trgovino in razvoj ali njegovega pooblaščenca, da z žrebom izbere vse tri člane s seznama, izdelanega v skladu s členom 94, enega izmed posameznikov, ki jih predlaga pogodbenica pritožnica, enega izmed posameznikov, ki jih predlaga pogodbenica, proti kateri je vložena pritožba, in enega izmed posameznikov, ki ga pogodbenici izbereta za predsednika."
"Where the Parties agree on one or more of the members of the arbitration panel, any remaining members shall be selected by the procedure laid down in this paragraph.","Kadar se pogodbenici sporazumeta o enem ali več članih arbitražnega sveta, se vsi preostali člani izberejo po postopku, predpisanem v tem odstavku."
"The Chairperson of the Trade and Development Committee, or her or his delegate, shall select the arbitrators within five (5) days of receipt of the request made by either Party referred to in paragraph 3 and in the presence of a representative of each Party.",Predsednik Odbora za trgovino in razvoj ali njegov pooblaščenec izbere arbitre v petih dneh od prejema zahtevka iz odstavka 3 s strani katere koli od pogodbenic in v navzočnosti predstavnikov obeh pogodbenic.
The date of establishment of the arbitration panel shall be the date on which the three (3) arbitrators are finally selected.,"Datum ustanovitve arbitražnega sveta je datum, ko so dokončno izbrani vsi trije arbitri."
Article 81,Člen 81
Interim panel report,Vmesno poročilo sveta
"The arbitration panel shall notify to the Parties an interim report containing both the descriptive section and its findings and conclusions, as a general rule not later than one hundred and twenty (120) days from the date of establishment of the arbitration panel.","Arbitražni svet pogodbenici uradno obvesti o vmesnem poročilu, ki vključuje opisni del in njegove ugotovitve ter sklepe, praviloma najpozneje 120 dni od datuma ustanovitve arbitražnega sveta."
"In cases of urgency, the time limit shall be reduced to sixty (60) days.",V nujnih primerih se lahko ta rok skrajša na 60 dni.
Any Party may submit written comments to the arbitration panel on precise aspects of its interim report within fifteen (15) days of the notification of the report.,Katera koli od pogodbenic lahko arbitražnemu svetu predloži pisne pripombe glede določenih vidikov njegovega vmesnega poročila v petnajstih dneh od uradnega obvestila o poročilu.
Article 82,Člen 82
Arbitral ruling,Arbitražne odločbe
The arbitration panel shall notify its ruling to the Parties and to the Trade and Development Committee within one hundred and fifty (150) days from the date of the establishment of the arbitration panel.,Arbitražni svet predloži odločbo pogodbenicama in Odboru za trgovino in razvoj v150 dneh od datuma ustanovitve arbitražnega sveta.
"Where it considers that this deadline cannot be met, the chairperson of the arbitration panel must notify the Parties and the Trade and Development Committee in writing, stating the reasons for the delay and the date on which the panel plans to conclude its work.","Kadar meni, da tega roka ni mogoče spoštovati, mora predsednik arbitražnega sveta o tem uradno obvestiti pogodbenici ter Odbor za trgovino in razvoj v pisni obliki, pri čemer navede razloge za odlog in datum, ko naj bi svet končal svoje delo."
Under no circumstances should the ruling be notified later than one hundred and eighty (180) days from the date of the establishment of the arbitration panel.,Uradno obvestilo o odločbi pod nobenim pogojem ne sme biti predloženo pozneje kot 180 dni od datuma ustanovitve arbitražnega sveta.
"In cases of urgency, including those involving perishable and seasonal goods, the arbitration panel shall make every effort to notify its ruling within ninety (90) days from the date of its establishment.","V nujnih primerih, vključno s tistimi, ki so povezani s pokvarljivim in sezonskim blagom, si arbitražni svet vsestransko prizadeva, da odločbo uradno predloži v 90 dneh od datuma svoje ustanovitve."
The arbitration panel may give a preliminary ruling within ten (10) days of its establishment on whether it deems the case to be urgent.,"Arbitražni svet lahko o tem, ali je primer nujen, predhodno odloči v desetih dneh po svoji ustanovitvi."
Either Party may request the arbitration panel to provide a recommendation as to how the Party complained against could bring itself into compliance.,"Katera koli od pogodbenic lahko zahteva, da arbitražni svet priporoči, kako bi lahko pogodbenica, proti kateri je vložena pritožba, odpravila neskladnost."
Article 83,Člen 83
Compliance with the arbitral ruling,Skladnost z arbitražno odločbo
The Party complained against shall take any steps necessary to comply with the arbitral ruling and the Parties shall seek to agree on the period of time to comply with that ruling.,"Pogodbenica, proti kateri je vložena pritožba, sprejme vse potrebne ukrepe za izpolnitev arbitražne odločbe, pogodbenici pa si bosta prizadevali za soglasje glede obdobja za izpolnitev odločbe."
Article 84,Člen 84
The reasonable period of time for compliance,Razumno obdobje za izpolnitev odločbe
"No later than thirty (30) days after the receipt of notification of the arbitral ruling to the Parties, the Party complained against shall notify the complaining Party and the Trade and Development Committee of the reasonable period of time it will require to bring itself into compliance with the arbitral ruling.","Najpozneje v 30 dneh po tem, ko sta pogodbenici prejeli uradno obvestilo o arbitražni odločbi, pogodbenica, proti kateri je vložena pritožba, uradno obvesti pogodbenico pritožnico ter Odbor za trgovino in razvoj o razumnem obdobju, ki ga bo potrebovala za izpolnitev arbitražne odločbe."
"Upon notification by the Party complained against, the Parties shall seek to agree on such a reasonable period of time.","Po uradnem obvestilu pogodbenici, proti kateri je vložena pritožba, si pogodbenici prizadevata doseči soglasje glede razumnega obdobja."
"If there is disagreement between the Parties on the reasonable period of time to comply with the arbitral ruling, the complaining Party shall, within thirty (30) days of the notification made under paragraph 1, request in writing the original arbitration panel to determine the length of the reasonable period of time.","Če med pogodbenicama pride do razhajanja glede razumnega obdobja za izpolnitev arbitražne odločbe, pogodbenica pritožnica v 30 dneh od uradnega obvestila iz odstavka 1 pisno zahteva od prvotnega arbitražnega sveta, da določi dolžino razumnega obdobja."
Such request shall be notified simultaneously to the Party complained against and to the Trade and Development Committee.,"Uradno obvestilo o takem zahtevku se hkrati pošlje pogodbenici, proti kateri je vložena pritožba, in Odboru za trgovino in razvoj."
The arbitration panel shall notify its ruling to the Parties and to the Trade and Development Committee within thirty (30) days from the date of the receipt of the request.,Arbitražni svet predloži svojo odločbo pogodbenicama in Odboru za trgovino in razvoj v 30 dneh od datuma prejema zahtevka.
"The arbitration panel shall, in determining the length of the reasonable period of time, take into consideration the length of time that it will normally take the Party complained against to adopt comparable legislative or administrative measures to those identified by such Party as being necessary to ensure compliance.","Arbitražni svet pri določanju dolžine razumnega obdobja upošteva obdobje, ki ga pogodbenica, proti kateri je vložena pritožba, običajno potrebuje za sprejetje zakonodajnih ali upravnih ukrepov, primerljivih s tistimi, za katere pogodbenica, proti kateri je vložena pritožba, ugotovi, da so potrebni za zagotovitev skladnosti."
The arbitration panel shall also take into consideration capacity constraints and the different level of development which may affect the adoption of the necessary measures by the Party complained against.,"Arbitražni svet poleg tega upošteva omejitve zmogljivosti in različne ravni razvoja, ki lahko vplivajo na sprejetje potrebnih ukrepov s strani pogodbenice, proti kateri je vložena pritožba."
"In the event of the original arbitration panel, or some of its members, being unable to reconvene, the procedures set out in Article 80 shall apply.","Če se prvotni arbitražni svet ali nekateri njegovi člani ne morejo ponovno sestati, se uporabijo postopki iz člena 80."
The time limit for notifying the ruling shall be forty-five (45) days from the date of the receipt of the request referred to in paragraph 2.,Rok za uradno obvestilo o odločbi je 45 dni od datuma prejema zahtevka iz odstavka 2.
The reasonable period of time may be extended by agreement of the Parties.,Razumno obdobje se lahko po dogovoru pogodbenic podaljša.
Article 85,Člen 85
Review of any measure taken to comply with the arbitral ruling,Pregled kakršnih koli sprejetih ukrepov za izpolnitev arbitražne odločbe
"The Party complained against shall notify the complaining Party and the Trade and Development Committee, before the end of the reasonable period of time, of any measure that it has taken to comply with the arbitral ruling.","Pogodbenica, proti kateri je vložena pritožba, pred koncem razumnega obdobja uradno obvesti pogodbenico pritožnico ter Odbor za trgovino in razvoj o vseh ukrepih, ki jih je sprejela za izpolnitev arbitražne odločbe."
"In the event of a disagreement between the Parties concerning the compatibility of any measure notified under paragraph 1 with the provisions of this Agreement, the complaining Party may request in writing the original arbitration panel to rule on the matter.","Če med pogodbenicama pride do razhajanja glede skladnosti katerega koli ukrepa, priglašenega na podlagi odstavka 1, z določbami tega sporazuma, lahko pogodbenica pritožnica pisno zahteva od prvotnega arbitražnega sveta, da odloča o zadevi."
Such request shall identify the specific measure at issue and it shall explain how such measure is incompatible with the provisions of this Agreement.,"V zahtevku morajo biti opredeljeni konkretni sporni ukrepi in biti mora razloženo, v čem so ti ukrepi neskladni z določbami tega sporazuma."
The arbitration panel shall notify its ruling within ninety (90) days of the date of the receipt of the request.,Arbitražni svet predloži uradno obvestilo o svoji odločbi v 90 dneh od datuma prejema zahtevka.
"In cases of urgency, including those involving perishable and seasonal goods, the arbitration panel shall notify its ruling within forty-five (45) days of the date of the receipt of the request.","V nujnih primerih, vključno s tistimi, ki so povezani s pokvarljivim in sezonskim blagom, arbitražni svet predloži uradno obvestilo o svoji odločbi v 45 dneh od datuma prejema zahtevka."
The time limit for notifying the ruling shall be one hundred and five (105) days from the date of the receipt of the request referred to in paragraph 2.,Rok za uradno obvestilo o odločbi je 105 dni od datuma prejema zahtevka iz odstavka 2.
Article 86,Člen 86
Temporary remedies in case of non-compliance,Začasna pravna sredstva v primeru neizpolnitve
"If the Party complained against fails to notify any measure taken to comply with the arbitral ruling before the expiry of the reasonable period of time, or if the arbitration panel rules that the measure notified under Article 85(1) is not compatible with the provisions of this Agreement, the Party complained against shall, if so requested by the complaining Party, present an offer for compensation.","Če pogodbenica, proti kateri je vložena pritožba, ne sporoči vseh sprejetih ukrepov za izpolnitev arbitražne odločbe pred potekom razumnega časovnega obdobja ali če arbitražni svet odloči, da ukrep, priglašen v skladu s členom 85(1), ni skladen z določbami tega sporazuma, pogodbenica, proti kateri je vložena pritožba, na zahtevo pogodbenice pritožnice predloži ponudbo za začasno nadomestilo."
"Such compensation may include or consist of financial compensation, although nothing in this Agreement shall oblige the Party complained against to offer such financial compensation.","Tako nadomestilo lahko vključuje ali obsega finančno nadomestilo, čeprav nobena določba tega sporazuma od pogodbenice, proti kateri je vložena pritožba, ne zahteva, da ponudi finančno nadomestilo."
"If no agreement on compensation is reached within thirty (30) days of the end of the reasonable period of time or of the arbitral ruling under Article 85 that a measure taken to comply is not compatible with this Agreement, the complaining Party shall be entitled, upon notification to the Party complained against, to adopt appropriate measures.","Če v 30 dneh od konca razumnega obdobja ali od arbitražne odločbe v skladu s členom 85, da sprejet ukrep za izpolnitev odločbe ni skladen z določbami tega sporazuma, ni dosežen dogovor o nadomestilu, je pogodbenica pritožnica upravičena, da po uradnem obvestilu pogodbenici, proti kateri je vložena pritožba, sprejme ustrezne ukrepe."
In adopting such measures the complaining Party shall seek to select measures proportionate to the violation which least affect the attainment of the objectives of this Agreement and shall take into consideration their impact on the economy of the Party complained against and on the individual SADC EPA States.,"Pri sprejemanju takih ukrepov si pogodbenica pritožnica prizadeva izbrati ukrepe, sorazmerne s kršitvijo, ki najmanj vplivajo na doseganje ciljev tega sporazuma, ter upošteva njihov vpliv na gospodarstvo pogodbenice, proti kateri je vložena pritožba, in na posamezne države SADC, ki izvajajo SGP."
"If the EU fails to notify any measure taken to comply with the arbitral ruling by the expiry of the reasonable period of time at the latest, or if the arbitration panel rules that the measure notified under Article 85(1) is not compatible with that Party's obligations under this Agreement, and the complaining Party asserts that the adoption of appropriate measures would result in significant damage to its economy, the EU shall consider providing financial compensation.","Če EU ne sporoči vseh sprejetih ukrepov za izpolnitev arbitražne odločbe najpozneje pred potekom razumnega časovnega obdobja ali če arbitražni svet odloči, da ukrep, priglašen v skladu s členom 85(1), ni skladen z obveznostmi pogodbenice v skladu s tem sporazumom, in če pogodbenica pritožnica vztraja, da bi uvedba primernih ukrepov povzročila znatno škodo njenemu gospodarstvu, EU razmisli o zagotovitvi finančnega nadomestila."
The EU shall exercise due restraint in asking for compensation or adopting appropriate measures pursuant to paragraphs 1 or 2.,EU je pri zahtevanju nadomestila ali sprejemanju ustreznih ukrepov v skladu z odstavkom 1 ali 2 ustrezno zadržana.
Compensation or appropriate measures shall be temporary and shall be applied only until any measure found to violate the provisions of this Agreement has been withdrawn or amended so as to bring it into conformity with those provisions or until the Parties have agreed to settle the dispute.,"Nadomestilo oziroma ustrezni ukrepi so začasni in se uporabljajo samo, dokler se morebitni ukrepi, s katerimi se kršijo določbe tega sporazuma, ne odpravijo oziroma se spremenijo tako, da so v skladu s temi določbami, ali dokler se pogodbenici ne dogovorita za rešitev spora."
"For the purposes of Articles 86 and 87, appropriate measures refer to measures similar to those available under Understanding on Rules and Procedures Governing the Settlement of Disputes contained in Annex 2 of the WTO Agreement (‘DSU’).","Za namene členov 86 in 87 se ustrezni ukrepi nanašajo na ukrepe, podobne tistim, ki so na voljo v okviru Dogovora o pravilih in postopkih za reševanje sporov iz Priloge 2 k Sporazumu STO (v nadaljevanju: DSU)."
Article 87,Člen 87
Review of any measure taken to comply after the adoption of appropriate measures,"Pregled ukrepov, sprejetih za izpolnitev odločbe, po sprejetju ustreznih ukrepov"
The Party complained against shall notify the complaining Party and the Trade and Development Committee of any measure it has taken to comply with the arbitral ruling and of its request to end the application of appropriate measures by the complaining Party.,"Pogodbenica, proti kateri je vložena pritožba, uradno obvesti pogodbenico pritožnico ter Odbor za trgovino in razvoj o vseh ukrepih, ki jih je sprejela za izpolnitev arbitražne odločbe, in o svoji zahtevi, da pogodbenica pritožnica konča izvajanje ustreznih ukrepov."
"If the Parties do not reach an agreement on the compatibility of the notified measure with the provisions of this Agreement within thirty (30) days of the date of notification, the complaining Party shall request in writing the original arbitration panel to rule on the matter.","Če se pogodbenici v 30 dneh od datuma predložitve uradnega obvestila ne sporazumeta o skladnosti priglašenega ukrepa z določbami tega sporazuma, pogodbenica pritožnica od prvotnega arbitražnega sveta pisno zahteva, da odloči o zadevi."
Such request shall be notified to the Party complained against and to the Trade and Development Committee.,"Uradno obvestilo o takem zahtevku se hkrati pošlje pogodbenici, proti kateri je vložena pritožba, in Odboru za trgovino in razvoj."
The arbitral ruling shall be notified to the Parties and to the Trade and Development Committee within forty-five (45) days of the date of the receipt of the request.,Arbitražna odločba se v 45 dneh od datuma prejema zahteve sporoči pogodbenicam ter Odboru za trgovino in razvoj.
"If the arbitration panel rules that any measure taken to comply is not in conformity with the provisions of this Agreement, the arbitration panel shall determine whether the complaining Party may continue to apply appropriate measures.","Če arbitražni svet odloči, da kateri koli sprejeti ukrepi za izpolnitev niso v skladu z določbami tega sporazuma, odloči tudi, ali lahko pogodbenica pritožnica nadaljuje z izvajanjem ustreznih ukrepov."
"If the arbitration panel rules that any measure taken to comply is in conformity with the provisions of this Agreement, the appropriate measures shall be terminated.","Če arbitražni svet odloči, da so kateri koli ukrepi, sprejeti za uskladitev, skladni z določbami tega sporazuma, se ustrezni ukrepi opustijo."
"In the event of the original arbitration panel, or some of its members, being unable to reconvene, the procedures laid down in Article 80 shall apply.","Če se prvotni arbitražni svet ali nekateri njegovi člani ne morejo ponovno sestati, se uporabijo postopki iz člena 80."
The period for notifying the ruling shall be sixty (60) days from the date of the receipt of the request referred to in paragraph 2.,"Rok, da se pošlje uradno obvestilo o odločbi je 60 dni od datuma prejema zahtevka iz odstavka 2."
Common provisions,Skupne določbe
Article 88,Člen 88
Mutually agreed solution,Sporazumna rešitev
The Parties may reach a mutually agreed solution to a dispute under this Chapter at any time.,Pogodbenici lahko kadar koli dosežeta sporazumno rešitev spora v skladu s tem poglavjem.
"They shall notify the Trade and Development Committee and the arbitration panel, if any, of such a solution.",O vsaki taki rešitvi uradno obvestita Odbor za trgovino in razvoj ter arbitražni svet.
"Upon adoption of the mutually agreed solution, the dispute settlement procedure shall be terminated.",Po sprejetju sporazumne rešitve se postopek reševanja spora zaključi.
Article 89,Člen 89
Rules of Procedure and Code of Conduct,Poslovnik in kodeks ravnanja
The Parties shall agree on Rules of Procedure and a Code of Conduct within twelve (12) months of the entry into force of this Agreement which shall be adopted by the Joint Council.,"Pogodbenice se dogovorijo o poslovniku in kodeksu ravnanja v dvanajstih mesecih od začetka veljavnosti tega sporazuma, sprejme pa ju Skupni svet."
"Any meeting of the arbitration panel shall be open to the public in accordance with the Rules of Procedure, unless the arbitration panel decides otherwise on its own motion or at the request of the Parties.","Seje arbitražnega sveta so v skladu s poslovnikom odprte za javnost, razen če se arbitražni svet na lastno pobudo ali na zahtevo pogodbenic odloči drugače."
The arbitration panel shall meet in closed session when the submissions or arguments of a Party contain confidential information.,"Arbitražni svet se sestane na zaprti seji, kadar prispevki ali trditve pogodbenice vsebujejo zaupne informacije."
Article 90,Člen 90
Information and technical advice,Informacije in tehnični nasveti
"At the request of a Party, or upon its own initiative, the arbitration panel may obtain information from any source, including the Parties involved in the dispute, it deems appropriate for the arbitration proceeding.","Na zahtevo pogodbenice ali na lastno pobudo lahko arbitražni svet pridobi informacije iz katerega koli vira, tudi od pogodbenic, vpletenih v spor, za katerega meni, da je primeren za postopek arbitražnega sveta."
The arbitration panel shall also have the right to seek the opinion of relevant experts as it deems appropriate.,"Arbitražni svet ima prav tako pravico pridobiti mnenje ustreznih strokovnjakov, kadar meni, da je to primerno."
Article 91,Člen 91
Languages of the submissions,Jeziki prispevkov
The written and oral submissions of the Parties shall be made in any official language of the Parties.,Pisni in ustni prispevki pogodbenic se predložijo v katerem koli od uradnih jezikov pogodbenic.
The Parties shall endeavour to agree on a common working language for any specific proceedings under this Part.,Pogodbenice si prizadevajo za dogovor o skupnem delovnem jeziku za kateri koli konkretni postopek v okviru tega dela.
"If the Parties are unable to agree on a common working language, each Party shall arrange for and bear the costs of the translation of its written submissions and interpretation at the hearings into the language chosen by the Party complained against, unless such language is an official language of that Party.","Če se pogodbenice ne morejo dogovoriti o skupnem delovnem jeziku, vsaka pogodbenica poskrbi in krije stroške za prevajanje svojih pisnih prispevkov in tolmačenje na obravnavah v jezik po izboru pogodbenice, proti kateri je vložena pritožba, razen če je tak jezik uradni jezik te pogodbenice."
"The EU shall, when seeking to agree on a common working language, take into account the potential impact of such costs on the SADC EPA States.","EU pri dogovarjanju o skupnem delovnem jeziku upošteva mogoči vpliv takih stroškov na države SADC, ki izvajajo SGP."
Article 92,Člen 92
Rules of interpretation,Pravila razlage
"The arbitration panel shall interpret the provisions of this Agreement in accordance with the customary rules of interpretation of public international law, including those codified in the Vienna Convention on the Law of Treaties.","Arbitražni svet razlaga določbe tega sporazuma v skladu z običajnimi pravili razlage mednarodnega javnega prava, vključno s pravili Dunajske konvencije o pogodbenem pravu."
The rulings of the arbitration panel cannot add to or diminish the rights and obligations provided for in this Agreement.,Odločbe arbitražnega sveta ne morejo povečati ali zmanjšati pravic in obveznosti iz tega sporazuma.
Article 93,Člen 93
Arbitral rulings,Arbitražne odločbe
The arbitration panel shall make every effort to take any decision by consensus.,Arbitražni svet si prizadeva za sprejemanje odločb s soglasjem.
"Where, nevertheless, a decision cannot be arrived at by consensus, the matter at issue shall be decided by majority vote.","Če odločbe kljub temu ni mogoče doseči s soglasjem, se o sporni zadevi odloča z večino glasov."
"The ruling shall set out the findings of fact, the applicability of the relevant provisions of this Agreement and the reasoning behind any findings and conclusions that it makes.","V odločbi so zajete ugotovitve o dejstvih, uporaba ustreznih določb tega sporazuma in utemeljitev za sprejete ugotovitve in zaključke."
The Trade and Development Committee shall make the arbitral ruling publicly available unless it decides not to do so.,"Odbor za trgovino in razvoj javno objavi arbitražne odločbe, razen če se odloči, da tega ne bo storil."
Article 94,Člen 94
List of arbitrators,Seznam arbitrov
"The Trade and Development Committee shall, no later than three (3) months after the entry into force of this Agreement, establish a list of twenty-one (21) individuals who are willing and able to serve as arbitrators.","Odbor za trgovino in razvoj najpozneje tri mesece po začetku veljavnosti tega sporazuma pripravi seznam 21 posameznikov, ki so pripravljeni in sposobni opravljati funkcijo arbitra. Vsaka od pogodbenic izbere osem posameznikov, ki bodo opravljali funkcijo arbitra."
Each of the Parties shall select eight (8) individuals to serve as arbitrators.,"Pogodbenice se prav tako dogovorijo o petih posameznikih, ki niso državljani nobene od pogodbenic in ki bodo opravljali funkcijo predsednika arbitražnega sveta."
Arbitrators shall have specialised knowledge on matters covered by this Agreement or experience in law and international trade.,"Arbitri morajo imeti strokovno znanje o zadevah, zajetih v tem sporazumu, ali izkušnje iz prava in mednarodne trgovine."
"They shall be independent, serve in their individual capacities and not take instructions from any organisation or government, or be affiliated with the governments of any of the Parties, and shall comply with the Code of Conduct annexed to the Rules of Procedures.","So samostojni, delujejo kot posamezniki in ne dobivajo navodil od nobene organizacije ali vlade niti niso povezani z vlado nobene od pogodbenic, in ravnajo v skladu s kodeksom ravnanja, ki je priložen poslovniku."
The Trade and Development Committee may establish an additional list of fifteen (15) individuals having a sectoral expertise in specific matters covered by this Agreement.,"Odbor za trgovino in razvoj lahko pripravi dodaten seznam petnajstih posameznikov, ki imajo področno strokovno znanje iz posebnih zadev, zajetih v tem sporazumu."
"When recourse is made to the selection procedure of Article 80, the Chairperson of the Trade and Development Committee may use such a sectoral list upon agreement of both Parties.","Kadar se uporabi postopek izbora iz člena 80, lahko predsednik Odbora za trgovino in razvoj tak področni seznam uporabi ob soglasju obeh pogodbenic."
Article 95,Člen 95
Relation with WTO obligations,Razmerje do obveznosti STO
Arbitration bodies set up under this Agreement shall not arbitrate disputes on a Party's rights and obligations under the WTO Agreement.,"Arbitražni organi, ustanovljeni na podlagi tega sporazuma, ne posredujejo v sporih o pravicah in obveznostih pogodbenic v okviru Sporazuma STO."
"Recourse to the dispute settlement provisions of this Agreement shall be without prejudice to any action in the WTO framework, including dispute settlement action.",Uporaba določb o reševanju sporov iz tega sporazuma ne posega v nobeno dejanje v okviru STO in ne v postopek reševanja sporov.
"However, where a Party has, with regard to a particular measure, initiated a dispute settlement proceeding under this Agreement or under the WTO Agreement, it may not initiate a dispute settlement proceeding regarding the same measure in the other forum until the first proceeding has ended.","Toda kadar je pogodbenica v zvezi z določenim ukrepom začela postopek reševanja spora v skladu s tem sporazumom ali Sporazumom STO, ne more začeti postopka reševanja spora glede istega ukrepa pri drugem razsodišču, dokler se prvi postopek ne konča."
"For the purposes of this paragraph, dispute settlement proceedings under the WTO Agreement are deemed to be initiated by a Party's request for the establishment of a panel under Article 6 of the DSU.","Za namene tega odstavka velja, da se postopki reševanja sporov v skladu s Sporazumom STO začnejo z zahtevo pogodbenice po ustanovitvi sveta iz člena 6 DSU."
Nothing in this Agreement shall preclude a Party from implementing the suspension of obligations authorised by the Dispute Settlement Body of the WTO.,"Nobena določba tega sporazuma pogodbenici ne preprečuje opustitve obveznosti, ki jo odobri Organ STO za reševanje sporov."
Article 96,Člen 96
Time limits,Roki
